DOY	2011	2012	2013	2014
243	1866.22	1828.47	1740.63	2048.45
244	1807.35	1767.91	1664.44	2039.81
245	1775.49	1712.55	1597.12	2000.1
246	1760.19	1634.05	1503.85	1994.41
247	1766.36	1601.62	1471.17	1988.22
248	1817	1568.5	1439.43	2015.02
249	1849.46	1567.65	1451.68	2020.05
250	1882.41	1572.4	1470.73	2035.15
251	1882.84	1567.88	1473.75	2020.81
252	1892.53	1567.14	1480.86	2005.44
253	1880.34	1556.57	1475.68	1963.05
254	1865.29	1555.33	1480.22	1917.19
255	1837.8	1542.22	1466.54	1919.21
256	1809.72	1524.66	1447.78	1923.48
257	1767.23	1495.7	1414.46	1859.55
258	1727.3	1451.55	1361.32	1786.79
259	1656.84	1414.58	1318.61	1743.6
260	1591.61	1376.53	1275.53	1623.76
261	1541.18	1319.81	1208.83	1487.22
262	1473.47	1263.66	1141.89	1375.44
263	1430.73	1203.46	1074.53	1281.66
264	1376.03	1147.91	1015.2	1197.82
265	1296.94	1126.32	1005.01	1164.1
266	1252.38	1087.62	968.861	1164.88
267	1236.51	1070.89	962.845	1156.39
268	1244.67	1074.79	983.144	1127.84
269	1231.9	1088.65	1013.56	1077.03
270	1221.43	1119.54	1062.51	1045.26
271	1192.78	1137.58	1092.59	1041.46
272	1191.72	1165.37	1132.93	1018.49
273	1172.46	1157.5	1124.67	1009.95
274	1140.11	1124.17	1083.53	991.236
275	1103.74	1098.96	1055.17	987.234
276	1074.01	1073.99	1027.64	948.97
277	1048.43	1039.46	989.049	901.594
278	1019.63	1001.61	947.094	840.752
279	994.011	969.638	912.954	773.278
280	956.881	941.718	884.418	726.741
281	885.367	898.916	837.301	672.159
282	839.084	849.604	782.855	615.063
283	822.042	791.797	720.674	564.293
284	791.074	730.518	651.327	523.777
285	739.501	672.023	585.339	472.241
286	676.567	637.268	552.533	426.914
287	643.363	579.813	489.566	390.239
288	657.183	526.845	432.618	352.085
289	667.126	477.36	379.811	317.351
